filename,kWeight,gap,runtime(ms),size,optimal?
w_rnd_graph_4000_20_1.txt,0.75,0.73,108000.02,37,FALSE
w_rnd_graph_4000_20_1.txt,1,0.75,108000.02,43,FALSE
w_rnd_graph_4000_20_2.txt,0.1,0.74,108000.02,26,FALSE
w_rnd_graph_4000_20_2.txt,0.25,0.74,108000.02,32,FALSE
w_rnd_graph_4000_20_2.txt,0.5,0.74,108000.02,32,FALSE
w_rnd_graph_4000_20_2.txt,0.75,0.78,108000.02,38,FALSE
w_rnd_graph_4000_20_2.txt,1,0.72,108000.02,42,FALSE
w_rnd_graph_4000_20_3.txt,0.1,0.73,108000.02,27,FALSE
w_rnd_graph_4000_20_3.txt,0.25,0.78,108000.02,29,FALSE
w_rnd_graph_4000_20_3.txt,0.5,0.73,108000.02,33,FALSE
w_rnd_graph_4000_20_3.txt,0.75,0.73,108000.02,40,FALSE
w_rnd_graph_4000_20_3.txt,1,0.75,108000.08,43,FALSE
w_rnd_graph_4000_20_4.txt,0.1,0.78,108000.02,28,FALSE
w_rnd_graph_4000_20_4.txt,0.25,0.74,108000.02,29,FALSE
w_rnd_graph_4000_20_4.txt,0.5,0.75,108000.02,34,FALSE
w_rnd_graph_4000_20_4.txt,0.75,0.75,108000.02,38,FALSE
w_rnd_graph_4000_20_4.txt,1,0.78,108000.02,42,FALSE
w_rnd_graph_4000_30_1.txt,0.1,0.75,108000.03,18,FALSE
w_rnd_graph_4000_30_1.txt,0.25,0.73,108000.03,21,FALSE
w_rnd_graph_4000_30_1.txt,0.5,0.75,108000.06,24,FALSE
w_rnd_graph_4000_30_1.txt,0.75,0.73,108000.03,26,FALSE
w_rnd_graph_4000_30_1.txt,1,0.75,108000.03,29,FALSE
w_rnd_graph_4000_30_2.txt,0.1,0.71,108000.03,18,FALSE
w_rnd_graph_4000_30_2.txt,0.25,0.75,108000.03,21,FALSE
w_rnd_graph_4000_30_2.txt,0.5,0.76,108000.03,23,FALSE
w_rnd_graph_4000_30_2.txt,0.75,0.78,108000.03,27,FALSE
w_rnd_graph_4000_30_2.txt,1,0.73,108000.03,28,FALSE
w_rnd_graph_4000_30_3.txt,0.1,0.76,108000.03,17,FALSE
w_rnd_graph_4000_30_3.txt,0.25,0.75,108000.03,20,FALSE
w_rnd_graph_4000_30_3.txt,0.5,0.74,108000.03,24,FALSE
w_rnd_graph_4000_30_3.txt,0.75,0.74,108000.03,27,FALSE
w_rnd_graph_4000_30_3.txt,1,0.73,108000.02,29,FALSE
w_rnd_graph_4000_30_4.txt,0.1,0.73,108000.02,17,FALSE
w_rnd_graph_4000_30_4.txt,0.25,0.75,108000.03,20,FALSE
w_rnd_graph_4000_30_4.txt,0.5,0.75,108000.03,22,FALSE
w_rnd_graph_4000_30_4.txt,0.75,0.76,108000.03,26,FALSE
w_rnd_graph_4000_30_4.txt,1,0.75,108000.07,29,FALSE
w_rnd_graph_4000_40_1.txt,0.1,0.76,108000.04,13,FALSE
w_rnd_graph_4000_40_1.txt,0.25,0.73,108000.04,15,FALSE
w_rnd_graph_4000_40_1.txt,0.5,0.75,108000.03,16,FALSE
w_rnd_graph_4000_40_1.txt,0.75,0.74,108000.06,21,FALSE
w_rnd_graph_4000_40_1.txt,1,0.78,108000.04,21,FALSE
w_rnd_graph_4000_40_2.txt,0.1,0.73,108000.04,13,FALSE
w_rnd_graph_4000_40_2.txt,0.25,0.75,108000.1,14,FALSE
w_rnd_graph_4000_40_2.txt,0.5,0.75,108000.04,16,FALSE
w_rnd_graph_4000_40_2.txt,0.75,0.75,108000.04,21,FALSE
w_rnd_graph_4000_40_2.txt,1,0.76,108000.04,21,FALSE
w_rnd_graph_4000_40_3.txt,0.1,0.75,108000.03,14,FALSE
w_rnd_graph_4000_40_3.txt,0.25,0.75,108000.04,16,FALSE
w_rnd_graph_4000_40_3.txt,0.5,0.75,108000.03,18,FALSE
w_rnd_graph_4000_40_3.txt,0.75,0.73,108000.04,20,FALSE
w_rnd_graph_4000_40_3.txt,1,0.75,108000.04,22,FALSE
w_rnd_graph_4000_40_4.txt,0.1,0.75,108000.07,13,FALSE
w_rnd_graph_4000_40_4.txt,0.25,0.73,108000.03,14,FALSE
w_rnd_graph_4000_40_4.txt,0.5,0.75,108000.03,17,FALSE
w_rnd_graph_4000_40_4.txt,0.75,0.70,108000.03,21,FALSE
w_rnd_graph_4000_40_4.txt,1,0.71,108000.04,22,FALSE
w_rnd_graph_4000_50_1.txt,0.1,0.75,108000.04,9,FALSE
w_rnd_graph_4000_50_1.txt,0.25,0.71,108000.04,12,FALSE
w_rnd_graph_4000_50_1.txt,0.5,0.75,108000.04,13,FALSE
w_rnd_graph_4000_50_1.txt,0.75,0.76,108000.04,15,FALSE
w_rnd_graph_4000_50_1.txt,1,0.75,108000.04,17,FALSE
w_rnd_graph_4000_50_2.txt,0.1,0.73,108000.04,10,FALSE
w_rnd_graph_4000_50_2.txt,0.25,0.75,108000.04,12,FALSE
w_rnd_graph_4000_50_2.txt,0.5,0.73,108000.04,13,FALSE
w_rnd_graph_4000_50_2.txt,0.75,0.74,108000.04,16,FALSE
w_rnd_graph_4000_50_2.txt,1,0.74,108000.04,17,FALSE
w_rnd_graph_4000_50_3.txt,0.1,0.73,108000.04,12,FALSE
w_rnd_graph_4000_50_3.txt,0.25,0.75,108000.04,12,FALSE
w_rnd_graph_4000_50_3.txt,0.5,0.73,108000.04,13,FALSE
w_rnd_graph_4000_50_3.txt,0.75,0.71,108000.04,16,FALSE
w_rnd_graph_4000_50_3.txt,1,0.72,108000.04,17,FALSE
w_rnd_graph_4000_50_4.txt,0.1,0.73,108000.04,11,FALSE
w_rnd_graph_4000_50_4.txt,0.25,0.75,108000.04,12,FALSE
w_rnd_graph_4000_50_4.txt,0.5,0.73,108000.04,14,FALSE
w_rnd_graph_4000_50_4.txt,0.75,0.71,108000.04,15,FALSE
w_rnd_graph_4000_50_4.txt,1,0.72,108000.04,17,FALSE
w_rnd_graph_500_20_2.txt,0.1,0.42,108000.01,12,FALSE
w_rnd_graph_500_20_2.txt,0.25,0.50,108000.02,14,FALSE
w_rnd_graph_500_20_2.txt,0.5,0.50,108000.04,16,FALSE
w_rnd_graph_500_20_2.txt,0.75,0.55,108000.01,22,FALSE
w_rnd_graph_500_20_2.txt,1,0.50,108000.01,24,FALSE
w_rnd_graph_500_20_3.txt,0.1,0.42,108000.0,13,FALSE
w_rnd_graph_500_20_3.txt,0.25,0.50,108000.0,14,FALSE
w_rnd_graph_500_20_3.txt,0.5,0.50,108000.0,18,FALSE
w_rnd_graph_500_20_3.txt,0.75,0.53,108000.0,19,FALSE
w_rnd_graph_500_20_3.txt,1,0.50,108000.0,24,FALSE
w_rnd_graph_500_20_4.txt,0.1,0.42,108000.01,12,FALSE
w_rnd_graph_500_20_4.txt,0.25,0.46,108000.01,14,FALSE
w_rnd_graph_500_20_4.txt,0.5,0.53,108000.01,17,FALSE
w_rnd_graph_500_20_4.txt,0.75,0.53,108000.03,21,FALSE
w_rnd_graph_500_20_4.txt,1,0.50,108000.0,23,FALSE
w_rnd_graph_500_30_2.txt,0.1,0.38,108000.01,8,FALSE
w_rnd_graph_500_30_2.txt,0.25,0.60,108000.01,10,FALSE
w_rnd_graph_500_30_2.txt,0.5,0.55,108000.01,11,FALSE
w_rnd_graph_500_30_2.txt,0.75,0.57,108000.01,14,FALSE
w_rnd_graph_500_30_2.txt,1,0.53,108000.01,15,FALSE
w_rnd_graph_500_30_3.txt,0.1,0.38,108000.01,9,FALSE
w_rnd_graph_500_30_3.txt,0.25,0.50,108000.01,10,FALSE
w_rnd_graph_500_30_3.txt,0.5,0.55,108000.0,11,FALSE
w_rnd_graph_500_30_3.txt,0.75,0.54,108000.01,14,FALSE
w_rnd_graph_500_30_3.txt,1,0.53,108000.0,17,FALSE
w_rnd_graph_500_30_4.txt,0.1,0.38,108000.01,9,FALSE
w_rnd_graph_500_30_4.txt,0.25,0.50,108000.07,10,FALSE
w_rnd_graph_500_30_4.txt,0.5,0.55,108000.02,11,FALSE
w_rnd_graph_500_30_4.txt,0.75,0.54,108000.0,15,FALSE
w_rnd_graph_500_30_4.txt,1,0.56,108000.0,18,FALSE
w_rnd_graph_500_40_2.txt,0.1,0.50,108000.02,9,FALSE
w_rnd_graph_500_40_2.txt,0.25,0.57,108000.01,9,FALSE
