filename,numVertices,numEdges,kWeight,maxIterations,removeVerticesPercentage,wheelIterations,runtime(ms),size
MOD_w_rnd_graph_500_20_1.txt,500,25200,0.5,160,0.2,32,1761,18
MOD_w_rnd_graph_500_20_1.txt,500,25200,0.75,160,0.2,32,2069,21
MOD_w_rnd_graph_500_20_1.txt,500,25200,1.0,160,0.2,32,3741,24
MOD_w_rnd_graph_500_30_1.txt,500,37675,0.1,160,0.2,32,570,9
MOD_w_rnd_graph_500_30_1.txt,500,37675,0.25,160,0.2,32,928,11
MOD_w_rnd_graph_500_30_1.txt,500,37675,0.5,160,0.2,32,901,13
MOD_w_rnd_graph_500_30_1.txt,500,37675,0.75,160,0.2,32,1736,16
MOD_w_rnd_graph_500_30_1.txt,500,37675,1.0,160,0.2,32,2166,18
MOD_w_rnd_graph_500_40_1.txt,500,50150,0.1,160,0.2,32,482,7
MOD_w_rnd_graph_500_40_1.txt,500,50150,0.25,160,0.2,32,541,8
MOD_w_rnd_graph_500_40_1.txt,500,50150,0.5,160,0.2,32,1110,10
MOD_w_rnd_graph_500_40_1.txt,500,50150,0.75,160,0.2,32,1008,11
MOD_w_rnd_graph_500_40_1.txt,500,50150,1.0,160,0.2,32,180335,12
MOD_w_rnd_graph_500_50_1.txt,500,62625,0.1,160,0.2,32,485,5
MOD_w_rnd_graph_500_50_1.txt,500,62625,0.25,160,0.2,32,619,7
MOD_w_rnd_graph_500_50_1.txt,500,62625,0.5,160,0.2,32,666,8
MOD_w_rnd_graph_500_50_1.txt,500,62625,0.75,160,0.2,32,649,9
MOD_w_rnd_graph_500_50_1.txt,500,62625,1.0,160,0.2,32,1205,11
