filename,numVertices,numEdges,kWeight,maxIterations,removeVerticesPercentage,destructionMethod,reconstructionMethod,runtime(ms),size,,size,size
w_david.txt,87,449,0.1,160,0.2,EDGE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,1,2,,,
w_david.txt,87,449,0.1,160,0.2,EDGE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,1,2,,,
w_david.txt,87,449,0.1,160,0.2,EDGE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,2,2,,,
w_david.txt,87,449,0.1,160,0.2,EDGE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,1,2,,,
w_david.txt,87,449,0.1,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,1,2,,,
w_david.txt,87,449,0.1,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,2,2,,,
w_david.txt,87,449,0.1,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,1,2,,,
w_david.txt,87,449,0.1,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,2,2,,,
w_david.txt,87,449,0.1,160,0.2,COMPLETE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,1,2,,,
w_david.txt,87,449,0.1,160,0.2,COMPLETE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,2,2,,,
w_david.txt,87,449,0.1,160,0.2,COMPLETE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,1,2,,,
w_david.txt,87,449,0.1,160,0.2,COMPLETE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,1,2,,,
w_david.txt,87,449,0.25,160,0.2,RANDOM_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,19,8,,,
w_david.txt,87,449,0.25,160,0.2,RANDOM_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,10,8,,,
w_david.txt,87,449,0.25,160,0.2,RANDOM_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,5,8,,,
w_david.txt,87,449,0.25,160,0.2,RANDOM_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,16,8,,,
w_david.txt,87,449,0.25,160,0.2,EDGE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,121,8,,,
w_david.txt,87,449,0.25,160,0.2,EDGE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,6,8,,,
w_david.txt,87,449,0.25,160,0.2,EDGE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,6,8,,,
w_david.txt,87,449,0.25,160,0.2,EDGE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,48,8,,,
w_david.txt,87,449,0.25,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,104,8,,,
w_david.txt,87,449,0.25,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,6,8,,,
w_david.txt,87,449,0.25,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,9,8,,,
w_david.txt,87,449,0.25,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,46,8,,,
w_david.txt,87,449,0.25,160,0.2,COMPLETE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,88,8,,,
w_david.txt,87,449,0.25,160,0.2,COMPLETE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,11,8,,,
w_david.txt,87,449,0.25,160,0.2,COMPLETE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,13,8,,,
w_david.txt,87,449,0.25,160,0.2,COMPLETE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,51,8,,,
w_david.txt,87,449,0.5,160,0.2,RANDOM_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,41,15,,,
w_david.txt,87,449,0.5,160,0.2,RANDOM_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,16,15,,,
w_david.txt,87,449,0.5,160,0.2,RANDOM_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,13,15,,,
w_david.txt,87,449,0.5,160,0.2,RANDOM_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,52,15,,,
w_david.txt,87,449,0.5,160,0.2,EDGE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,155,15,,,
w_david.txt,87,449,0.5,160,0.2,EDGE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,14,15,,,
w_david.txt,87,449,0.5,160,0.2,EDGE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,20,15,,,
w_david.txt,87,449,0.5,160,0.2,EDGE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,180,15,,,
w_david.txt,87,449,0.5,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,162,15,,,
w_david.txt,87,449,0.5,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,23,15,,,
w_david.txt,87,449,0.5,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,21,15,,,
w_david.txt,87,449,0.5,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,135,15,,,
w_david.txt,87,449,0.5,160,0.2,COMPLETE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,159,15,,,
w_david.txt,87,449,0.5,160,0.2,COMPLETE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,38,15,,,
w_david.txt,87,449,0.5,160,0.2,COMPLETE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,37,15,,,
w_david.txt,87,449,0.5,160,0.2,COMPLETE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,131,15,,,
w_david.txt,87,449,0.75,160,0.2,RANDOM_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,70,23,,,
w_david.txt,87,449,0.75,160,0.2,RANDOM_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,27,23,,,
w_david.txt,87,449,0.75,160,0.2,RANDOM_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,28,24,,,
w_david.txt,87,449,0.75,160,0.2,RANDOM_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,148,23,,,
w_david.txt,87,449,0.75,160,0.2,EDGE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,169,23,,,
w_david.txt,87,449,0.75,160,0.2,EDGE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,30,24,,,
w_david.txt,87,449,0.75,160,0.2,EDGE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,32,24,,,
w_david.txt,87,449,0.75,160,0.2,EDGE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,338,23,,,
w_david.txt,87,449,0.75,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,171,23,,,
w_david.txt,87,449,0.75,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,35,23,,,
w_david.txt,87,449,0.75,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,36,24,,,
w_david.txt,87,449,0.75,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,207,24,,,
w_david.txt,87,449,0.75,160,0.2,COMPLETE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,182,23,,,
w_david.txt,87,449,0.75,160,0.2,COMPLETE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,65,23,,,
w_david.txt,87,449,0.75,160,0.2,COMPLETE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,69,24,,,
w_david.txt,87,449,0.75,160,0.2,COMPLETE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,179,23,,,
